titulo,autor,estoque,lido,emprestado,descricao
O Senhor dos Anéis,J.R.R. Tolkien,3,True,False,"Uma jornada épica onde o hobbit Frodo Bolseiro herda um anel maligno e deve viajar pela Terra-Média, enfrentando orcs e forças das trevas, para destruí-lo nas chamas da Montanha da Perdição."
1984,George Orwell,0,False,False,"Um romance distópico sobre uma sociedade totalitária governada pelo Partido e pelo onipresente Grande Irmão, onde o protagonista Winston Smith tenta resistir ao controle absoluto da mente e da história."
Dom Casmurro,Machado de Assis,5,True,True,"Obra-prima narrada em primeira pessoa por Bento Santiago, que relata sua vida e tenta convencer o leitor, através de sua visão ciumenta, de que foi traído por sua esposa Capitu e seu melhor amigo Escobar."
Duna,Frank Herbert,2,False,False,"Épico de ficção científica ambientado no árido planeta Arrakis, único poço da valiosa especiaria melange, acompanhando o jovem Paul Atreides em complexas tramas de política, ecologia e religião."
O Guia do Mochileiro das Galáxias,Douglas Adams,4,True,False,"Uma hilária aventura espacial que começa quando a Terra é demolida para dar lugar a uma via expressa hiperespacial, acompanhando o humano Arthur Dent e seu amigo alienígena Ford Prefect."
As Duas Torres,J.R.R. Tolkien,2,True,False,"O segundo volume da saga do Anel, onde a Sociedade se divide: Frodo e Sam continuam guiados por Gollum, enquanto Aragorn, Legolas e Gimli enfrentam as forças do mago traidor Saruman."
O Retorno do Rei,J.R.R. Tolkien,1,False,False,"O emocionante desfecho da trilogia da Terra-Média, focado nas batalhas finais em Minas Tirith contra os exércitos de Sauron, o retorno de Aragorn como rei de Gondor e o clímax da missão de Frodo."
Harry Potter e a Pedra Filosofal,J.K. Rowling,5,True,False,"A introdução ao mundo mágico através dos olhos do jovem órfão Harry, que descobre ser um bruxo famoso e embarca em seu primeiro ano em Hogwarts, desvendando mistérios sobre seu passado."
Harry Potter e a Câmara Secreta,J.K. Rowling,3,True,False,"Durante seu segundo ano em Hogwarts, Harry investiga uma série de ataques misteriosos a estudantes, enfrentando uma ameaça sombria ligada aos fundadores da escola e ao herdeiro de Slytherin."
Harry Potter e o Prisioneiro de Azkaban,J.K. Rowling,4,True,False,"No terceiro ano letivo de Harry, Hogwarts é patrulhada pelos terríveis dementadores enquanto o perigoso fugitivo Sirius Black, que supostamente traiu os pais de Harry, parece estar caçando o jovem bruxo."
Crime e Castigo,Fiódor Dostoiévski,2,False,False,"Um profundo estudo psicológico de Raskólnikov, um ex-estudante pobre que formula uma justificativa moral para assassinar uma agiota, mas logo é consumido pela paranoia e o peso de sua consciência."
A Revolução dos Bichos,George Orwell,3,True,False,"Fábula satírica onde animais de uma fazenda se rebelam contra seu dono humano para criar uma sociedade igualitária, apenas para ver a revolta ser corrompida por porcos ditatoriais em uma crítica à revolução."
Admirável Mundo Novo,Aldous Huxley,1,False,True,"Uma distopia futurista onde a sociedade é criada em laboratório, rigidamente dividida em castas genéticas e mantida dócil através do consumismo e do consumo constante da droga pacificadora soma."
Fundação,Isaac Asimov,3,True,False,"Um marco da ficção científica que segue o plano do psio-historiador Hari Seldon para reduzir os milênios de barbárie que seguirão a queda do Império Galáctico, estabelecendo uma colônia de cientistas."
Neuromancer,William Gibson,2,False,False,"O romance fundador do gênero cyberpunk, focado no hacker Case, que tem seu sistema nervoso danificado e recebe a chance de cura ao aceitar realizar um hack quase impossível para uma IA misteriosa."
Cem Anos de Solidão,Gabriel García Márquez,4,True,False,"A obra-prima do realismo mágico que narra a história intergeracional e cíclica da família Buendía e da mítica cidade de Macondo, misturando eventos históricos, milagres e a inevitabilidade do destino."
Orgulho e Preconceito,Jane Austen,3,True,False,"Um brilhante retrato da sociedade inglesa do início do século XIX, acompanhando a inteligente Elizabeth Bennet enquanto ela lida com as pressões de casamento e seu relacionamento com o orgulhoso Sr. Darcy."
O Pequeno Príncipe,Antoine de Saint-Exupéry,5,True,False,"Uma fábula poética sobre um aviador perdido no deserto que encontra um jovem príncipe de um asteroide distante, explorando em suas conversas a essência do amor, da amizade e da natureza humana."
Os Miseráveis,Victor Hugo,2,False,True,"Um épico histórico francês focado na vida do ex-prisioneiro Jean Valjean, sua busca por redenção e fuga implacável do inspetor Javert, tendo como pano de fundo a rebelião de junho de 1832 em Paris."
Moby Dick,Herman Melville,1,False,False,"A trágica e simbólica narrativa da obsessiva jornada do Capitão Ahab a bordo do navio baleeiro Pequod, disposto a sacrificar toda a sua tripulação por vingança contra uma lendária cachalote branca."
Frankenstein,Mary Shelley,2,True,False,"Um romance gótico sobre a ambição desmedida do cientista Victor Frankenstein, que consegue dar vida a uma criatura feita de partes de cadáveres, gerando consequências trágicas pela sua rejeição."
Alice no País das Maravilhas,Lewis Carroll,3,True,False,"Uma jornada literária onírica onde a jovem Alice cai em uma toca de coelho, entrando num mundo subterrâneo caótico habitado por criaturas peculiares e regido por lógicas absurdas."
